protein_id,n_compounds,mean_affinity,active_rate
PID_113,4,5.8939,0.25
PID_497,4,5.98,0.25
PID_280,4,6.2023,0.25
PID_398,4,5.1125,0.0
PID_397,4,5.943,0.0
PID_292,4,6.9604,0.75
PID_118,4,6.3833,0.25
PID_279,4,7.437,0.75
PID_169,4,6.4203,0.25
PID_442,4,7.1618,0.75
PID_284,4,6.6518,0.25
PID_456,4,6.3683,0.25
PID_348,4,6.1999,0.0
PID_212,4,6.8792,0.5
PID_463,4,6.6661,0.25
PID_427,4,5.4231,0.0
PID_217,4,5.3849,0.25
PID_258,4,6.3099,0.5
PID_221,4,6.7839,0.25
PID_314,4,8.0664,0.5
PID_228,4,7.2768,0.75
PID_336,4,5.8432,0.25
PID_454,4,6.1046,0.0
PID_334,4,5.9937,0.25
PID_234,4,6.4896,0.25
PID_318,4,7.1532,0.75
PID_238,4,5.8304,0.25
PID_243,4,6.106,0.0
PID_325,4,7.334,0.5
PID_249,4,6.1899,0.25
PID_303,4,6.3133,0.25
PID_466,4,5.936,0.25
PID_360,4,6.3981,0.25
PID_470,4,7.3196,0.5
PID_202,4,7.2974,0.75
PID_201,4,6.1247,0.25
PID_196,4,6.2258,0.25
PID_481,4,5.9737,0.0
PID_357,4,6.5049,0.25
PID_264,4,6.012,0.0
PID_467,4,7.0356,0.5
PID_305,4,8.7834,0.75
PID_435,4,7.3151,0.75
PID_438,4,6.6258,0.25
PID_447,3,6.7772,0.3333
PID_440,3,8.0828,0.3333
PID_433,3,6.4471,0.3333
PID_432,3,7.0256,0.6667
PID_445,3,7.0336,0.6667
PID_451,3,7.3504,0.6667
PID_484,3,6.2121,0.3333
PID_450,3,7.1147,0.6667
PID_452,3,6.0829,0.3333
PID_486,3,5.7981,0.0
PID_441,3,6.8203,0.3333
PID_100,3,7.435,0.6667
PID_407,3,7.2378,0.6667
PID_193,3,7.1352,0.6667
PID_267,3,6.8881,0.6667
PID_252,3,6.05,0.0
PID_239,3,6.5384,0.0
PID_233,3,6.3288,0.3333
PID_230,3,6.4228,0.3333
PID_214,3,6.801,0.3333
PID_209,3,7.7743,0.6667
PID_206,3,6.4833,0.0
PID_205,3,5.5907,0.0
PID_204,3,6.5115,0.0
PID_186,3,6.8037,0.3333
PID_287,3,6.4877,0.3333
PID_180,3,6.564,0.3333
PID_166,3,6.5083,0.3333
PID_165,3,6.6714,0.3333
PID_124,3,5.7127,0.0
PID_123,3,6.9612,0.3333
PID_122,3,6.3381,0.0
PID_120,3,5.3828,0.0
PID_119,3,5.3782,0.0
PID_114,3,6.1055,0.3333
PID_109,3,6.2501,0.3333
PID_282,3,6.3853,0.3333
PID_246,3,5.9175,0.0
PID_388,3,6.2873,0.3333
PID_342,3,5.7998,0.0
PID_307,3,5.9529,0.3333
PID_383,3,6.7536,0.3333
PID_330,3,6.5153,0.3333
PID_326,3,6.1587,0.0
PID_327,3,6.0201,0.0
PID_350,3,6.9049,0.6667
PID_344,3,5.8752,0.3333
PID_370,3,6.272,0.0
PID_340,3,6.1684,0.3333
PID_353,3,7.1732,0.6667
PID_362,3,6.7651,0.6667
PID_468,2,5.7694,0.0
PID_332,2,5.9149,0.0
PID_304,2,7.8926,0.5
PID_499,2,6.6569,0.5
PID_195,2,6.941,0.5
PID_198,2,6.8914,0.5
PID_379,2,6.3436,0.0
PID_476,2,6.7784,0.5
PID_478,2,4.4118,0.0
PID_177,2,6.7273,0.5
PID_176,2,5.8486,0.0
PID_210,2,5.8955,0.0
PID_215,2,6.6978,0.5
PID_272,2,6.8674,0.5
PID_270,2,5.6015,0.0
PID_302,2,5.992,0.0
PID_301,2,6.6354,0.5
PID_295,2,6.0183,0.0
PID_294,2,6.655,0.0
PID_415,2,5.8398,0.0
PID_437,2,6.4155,0.0
PID_277,2,6.1805,0.0
PID_218,2,8.2763,0.5
PID_133,2,6.288,0.0
PID_115,2,6.6943,0.5
PID_262,2,6.3007,0.0
PID_253,2,6.794,0.5
PID_251,2,6.5079,0.5
PID_393,2,7.4639,1.0
PID_321,2,6.2105,0.0
PID_229,2,6.4724,0.5
PID_220,2,6.7372,0.0
PID_420,1,6.6522,0.0
PID_127,1,7.166,1.0
PID_130,1,6.5443,0.0
PID_488,1,5.6147,0.0
PID_439,1,7.8014,1.0
PID_137,1,6.6408,0.0
PID_143,1,5.0238,0.0
PID_156,1,6.48,0.0
PID_423,1,5.9472,0.0
PID_352,1,6.4634,0.0
PID_345,1,6.9909,0.0
PID_473,1,5.7065,0.0
PID_436,1,2.1576,0.0
PID_281,1,4.9311,0.0
PID_306,1,6.4739,0.0
PID_469,1,6.3392,0.0
